[Time:        3] [Episode:        1 Length       27 Score:    -0.7495] [RScore:    -0.7495 RPPS:     7] [PPS:     8 TPS:    13] [NT:  4 NP:  4 NA: 64]
[Time:        3] [Episode:        2 Length       15 Score:    -0.5821] [RScore:    -0.6658 RPPS:    10] [PPS:    11 TPS:    15] [NT:  4 NP:  4 NA: 64]
[Time:        3] [Episode:        3 Length       18 Score:     0.2382] [RScore:    -0.3644 RPPS:    15] [PPS:    16 TPS:    16] [NT:  4 NP:  4 NA: 64]
[Time:        4] [Episode:        4 Length       18 Score:    -0.4843] [RScore:    -0.3944 RPPS:    17] [PPS:    18 TPS:    21] [NT:  4 NP:  4 NA: 64]
[Time:        5] [Episode:        5 Length       23 Score:    -0.3502] [RScore:    -0.3856 RPPS:    18] [PPS:    19 TPS:    28] [NT:  4 NP:  4 NA: 64]
[Time:        5] [Episode:        6 Length       33 Score:    -1.1184] [RScore:    -0.5077 RPPS:    22] [PPS:    23 TPS:    30] [NT:  4 NP:  4 NA: 64]
[Time:        6] [Episode:        7 Length       34 Score:    -0.9650] [RScore:    -0.5730 RPPS:    26] [PPS:    27 TPS:    32] [NT:  4 NP:  4 NA: 64]
[Time:        7] [Episode:        8 Length       34 Score:     0.0238] [RScore:    -0.4984 RPPS:    26] [PPS:    27 TPS:    37] [NT:  4 NP:  4 NA: 64]
[Time:        7] [Episode:        9 Length       41 Score:    -2.4983] [RScore:    -0.7206 RPPS:    30] [PPS:    31 TPS:    38] [NT:  4 NP:  4 NA: 64]
[Time:        8] [Episode:       10 Length       38 Score:    -1.1646] [RScore:    -0.7650 RPPS:    33] [PPS:    34 TPS:    39] [NT:  4 NP:  4 NA: 64]
[Time:        8] [Episode:       11 Length       44 Score:    -0.1608] [RScore:    -0.7101 RPPS:    36] [PPS:    37 TPS:    40] [NT:  4 NP:  4 NA: 64]
[Time:        8] [Episode:       12 Length       45 Score:    -3.5528] [RScore:    -0.9470 RPPS:    41] [PPS:    42 TPS:    40] [NT:  4 NP:  4 NA: 64]
